benchmark,cpu_lim,mem_lim,data_size,run_no,cpu_util
image-process,48,2048,384K,3,7.760894868947401
image-process,48,2048,384K,4,9.844274417589272
image-process,48,2048,384K,5,10.329772294168432
image-process,48,2048,384K,6,9.552470415088505
image-process,48,2048,384K,7,9.979126590873696
image-process,48,2048,384K,8,10.270892004920048
image-process,48,2048,384K,9,6.851109717255081
image-process,48,2048,384K,10,9.485632333305745
image-process,48,2048,608K,1,30.43404113952238
image-process,48,2048,608K,2,30.542933267296085
image-process,48,2048,608K,3,32.70629820414428
image-process,48,2048,608K,4,34.099141976518155
image-process,48,2048,608K,5,34.18037344228805
image-process,48,2048,608K,6,34.12729114018113
image-process,48,2048,608K,7,24.758517173287725
image-process,48,2048,608K,8,33.958227013592236
image-process,48,2048,608K,9,20.849081674043017
image-process,48,2048,608K,10,34.36926307668378
image-process,48,2048,756K,1,41.515649993096574
image-process,48,2048,756K,2,35.634220097591204
image-process,48,2048,756K,3,29.30209445448228
image-process,48,2048,756K,4,37.68756196209935
image-process,48,2048,756K,5,47.97236417633411
image-process,48,2048,756K,6,56.62423417054263
image-process,48,2048,756K,7,56.643842634547944
image-process,48,2048,756K,8,41.15966030923789
image-process,48,2048,756K,9,30.799396658947042
image-process,48,2048,756K,10,56.70861367274958
image-process,32,2048,1.2M,1,31.87747856966708
image-process,32,2048,1.2M,2,24.7864585619298
image-process,32,2048,1.2M,3,38.44137269731136
image-process,32,2048,1.2M,4,39.78890497926586
image-process,32,2048,1.2M,5,42.439205009858824
image-process,32,2048,1.2M,6,27.034464998424205
image-process,32,2048,1.2M,7,41.96561112859257
image-process,32,2048,1.2M,8,42.25030275478691
image-process,32,2048,1.2M,9,38.438714914303524
image-process,32,2048,1.2M,10,32.30508109936575
image-process,16,2048,440K,1,51.15775595779096
image-process,16,2048,440K,2,15.214500975571926
image-process,16,2048,440K,3,29.057483964244074
image-process,16,2048,440K,4,21.976255785619696
image-process,16,2048,440K,5,28.927080559179867
image-process,16,2048,440K,6,29.5734124877741
image-process,16,2048,440K,7,18.12959035781544
image-process,16,2048,440K,8,28.92428156201187
image-process,16,2048,440K,9,14.609016499805977
image-process,16,2048,440K,10,29.27406867783985
image-process,48,2048,244K,1,2.3334162137049943
image-process,48,2048,244K,2,28.453284892328913
image-process,48,2048,244K,3,16.47229784653086
image-process,48,2048,244K,4,28.726920727497873
image-process,48,2048,244K,5,29.164854733532465
image-process,48,2048,244K,6,20.408551552795032
image-process,48,2048,244K,7,30.208808268540206
image-process,48,2048,244K,8,26.63979816337592
image-process,48,2048,244K,9,28.974473154980114
image-process,48,2048,244K,10,23.772249323029364
image-process,64,2048,3.4M,1,1130.651149921753
image-process,64,2048,3.4M,2,100.59993373433585
image-process,64,2048,3.4M,3,101.27080388643532
image-process,64,2048,3.4M,4,91.24446747041539
image-process,64,2048,3.4M,5,91.85254138237158
image-process,64,2048,3.4M,6,100.67827255454904
image-process,64,2048,3.4M,7,101.6250555527319
image-process,64,2048,3.4M,8,101.36063553900989
image-process,64,2048,3.4M,9,101.27019973409305
image-process,64,2048,3.4M,10,102.00642331983805
image-process,96,2048,2.4M,1,1171.2379989487765
image-process,96,2048,2.4M,2,58.49794994679186
image-process,96,2048,2.4M,3,70.9662736312146
image-process,96,2048,2.4M,4,70.24713572173913
image-process,96,2048,2.4M,5,58.5244134633373
image-process,96,2048,2.4M,6,39.7948174537368
image-process,96,2048,2.4M,7,45.918361847912365
image-process,96,2048,2.4M,8,58.68253188880064
image-process,96,2048,2.4M,9,75.92973639012033
image-process,96,2048,2.4M,10,74.22037265533132
image-process,16,2048,756K,1,530.108345748278
image-process,16,2048,756K,2,39.87119178490241
image-process,16,2048,756K,3,46.618416320880854
image-process,16,2048,756K,4,49.37724121824207
image-process,16,2048,756K,5,53.54972128745838
image-process,16,2048,756K,6,53.727633020518525
image-process,16,2048,756K,7,53.526583444013
image-process,16,2048,756K,8,54.094596466296586
image-process,16,2048,756K,9,53.840087332594585
image-process,16,2048,756K,10,52.52102411176377
image-process,32,2048,184K,1,23.89857575953757
image-process,32,2048,184K,2,35.13162419521207
image-process,32,2048,184K,3,35.925273424994245
image-process,32,2048,184K,4,35.94319007579273
image-process,32,2048,184K,5,28.54445349753695
image-process,32,2048,184K,6,37.456779270502594
image-process,32,2048,184K,7,36.790682950513535
image-process,32,2048,184K,8,32.026856057984574
image-process,32,2048,184K,9,35.98779555555556
image-process,32,2048,184K,10,37.12466563161609
image-process,80,2048,184K,1,1245.750477244834
image-process,80,2048,184K,2,37.307519194208375
image-process,80,2048,184K,3,36.79581623315575
image-process,80,2048,184K,4,35.65115020491481
image-process,80,2048,184K,5,35.59909327408348
image-process,80,2048,184K,6,23.185308906497625
image-process,80,2048,184K,7,37.575581452407434
image-process,80,2048,184K,8,37.861789608540924
image-process,80,2048,184K,9,37.514473466148104
image-process,80,2048,184K,10,37.23311807597356
image-process,96,2048,928K,1,1022.7519001610003
image-process,96,2048,928K,2,34.94179951112504
image-process,96,2048,928K,3,34.65853201530413
image-process,96,2048,928K,4,29.819931022557572
image-process,96,2048,928K,5,29.716908896278703
image-process,96,2048,928K,6,29.412556451204058
image-process,96,2048,928K,7,31.504007735368955
image-process,96,2048,928K,8,36.14425043037172
image-process,96,2048,928K,9,34.78084331056394
image-process,96,2048,928K,10,35.50403106598985
image-process,48,2048,440K,1,47.85765510394043
image-process,48,2048,440K,2,21.753165872386727
image-process,48,2048,440K,3,28.537222004791712
image-process,48,2048,440K,4,28.051863223628693
image-process,48,2048,440K,5,21.974462116777076
image-process,48,2048,440K,6,29.074006594320018
image-process,48,2048,440K,7,28.985042626902572
image-process,48,2048,440K,8,29.26964759626514
image-process,48,2048,440K,9,28.78074905818464
image-process,48,2048,440K,10,23.92863819097034
image-process,96,2048,244K,1,9.42047540623091
image-process,96,2048,244K,2,28.068633260299336
image-process,96,2048,244K,3,27.055747946878338
image-process,96,2048,244K,4,23.792872355416993
image-process,96,2048,244K,5,29.233098753117208
image-process,96,2048,244K,6,28.654055450670874
image-process,96,2048,244K,7,29.355171686983876
image-process,96,2048,244K,8,28.426299576173232
image-process,96,2048,244K,9,28.72314291851506
image-process,96,2048,244K,10,23.705718921774256
image-process,96,2048,12K,1,25.748381294272647
image-process,96,2048,12K,2,1.9626665321563683
image-process,96,2048,12K,3,1.6598674483317575
image-process,96,2048,12K,4,1.6389985033697418
image-process,96,2048,12K,5,1.2873090084111427
image-process,96,2048,12K,6,1.7479540367258013
image-process,96,2048,12K,7,1.461082966180577
image-process,96,2048,12K,8,1.646307802550262
image-process,96,2048,12K,9,1.7017472257465571
image-process,96,2048,12K,10,1.4500714736677605
image-process,96,2048,80K,1,1101.543353038034
image-process,96,2048,80K,2,6.519614476310206
image-process,96,2048,80K,3,6.480360991012114
image-process,96,2048,80K,4,6.417932723857232
image-process,96,2048,80K,5,6.405243652448657
image-process,96,2048,80K,6,6.78668900007892
image-process,96,2048,80K,7,6.359268436728518
image-process,96,2048,80K,8,6.369499437315692
image-process,96,2048,80K,9,6.110761739130434
image-process,96,2048,80K,10,6.376905354705602
image-process,96,2048,756K,1,1227.105223912363
image-process,96,2048,756K,2,29.019362696629216
image-process,96,2048,756K,3,36.148332611514725
image-process,96,2048,756K,4,41.52246799527373
image-process,96,2048,756K,5,47.90401237400951
image-process,96,2048,756K,6,47.94359092207586
image-process,96,2048,756K,7,47.75755922564265
image-process,96,2048,756K,8,49.01075272207214
image-process,96,2048,756K,9,48.75031336566749
image-process,96,2048,756K,10,50.23072183089637
image-process,80,2048,608K,1,1110.7340528150469
image-process,80,2048,608K,2,34.668062655673346
image-process,80,2048,608K,3,34.96746783974862
image-process,80,2048,608K,4,33.8259402337805
image-process,80,2048,608K,5,35.01813196255751
image-process,80,2048,608K,6,19.294813382758893
image-process,80,2048,608K,7,35.18961655873016
image-process,80,2048,608K,8,35.1425724685259
image-process,80,2048,608K,9,35.186824026066915
image-process,80,2048,608K,10,23.827168914285714
image-process,64,2048,4.6M,1,1080.7429559818495
image-process,64,2048,4.6M,2,100.62946273361008
image-process,64,2048,4.6M,3,101.17355666850526
image-process,64,2048,4.6M,4,101.83669193816884
image-process,64,2048,4.6M,5,101.65788247367172
image-process,64,2048,4.6M,6,101.40076884697677
image-process,64,2048,4.6M,7,101.68538090592334
image-process,64,2048,4.6M,8,101.39644247226624
image-process,64,2048,4.6M,9,101.24301105871183
image-process,64,2048,4.6M,10,101.89025748592275
image-process,80,2048,756K,1,1048.4469238884985
image-process,80,2048,756K,2,29.791068205007456
image-process,80,2048,756K,3,34.84077841579485
image-process,80,2048,756K,4,36.07490031504789
image-process,80,2048,756K,5,37.750648770764116
image-process,80,2048,756K,6,43.89109428118058
image-process,80,2048,756K,7,38.22318498414711
image-process,80,2048,756K,8,40.03413489310975
image-process,80,2048,756K,9,40.516241312098884
image-process,80,2048,756K,10,42.06834511302133
image-process,48,2048,12K,1,18.61187279125649
image-process,48,2048,12K,2,1.841963068235294
image-process,48,2048,12K,3,1.7403580233547291
image-process,48,2048,12K,4,1.818840500582977
image-process,48,2048,12K,5,1.247740279763755
image-process,48,2048,12K,6,1.839703091772637
image-process,48,2048,12K,7,1.3143137441485688
image-process,48,2048,12K,8,1.2902263013282733
image-process,48,2048,12K,9,1.669344463479209
image-process,48,2048,12K,10,1.8284144657882202
image-process,80,2048,244K,1,1207.7217507947955
image-process,80,2048,244K,2,29.18354986582974
image-process,80,2048,244K,3,27.955111748317417
image-process,80,2048,244K,4,20.01786231868045
image-process,80,2048,244K,5,29.391490987070323
image-process,80,2048,244K,6,28.98143954595617
image-process,80,2048,244K,7,30.317642177541128
image-process,80,2048,244K,8,20.060331202415956
image-process,80,2048,244K,9,30.124030151551217
image-process,80,2048,244K,10,29.91447562969405
image-process,48,2048,1.2M,1,45.05351259671928
image-process,48,2048,1.2M,2,26.36382286328065
image-process,48,2048,1.2M,3,25.263823064615387
image-process,48,2048,1.2M,4,47.11896450608197
image-process,48,2048,1.2M,5,41.94169619501524
image-process,48,2048,1.2M,6,35.09369535658184
image-process,48,2048,1.2M,7,39.789625974905704
image-process,48,2048,1.2M,8,41.68615982624884
image-process,48,2048,1.2M,9,30.101231820471718
image-process,48,2048,1.2M,10,43.127434401917576
image-process,32,2048,244K,1,23.74974261728395
image-process,32,2048,244K,2,29.403204696431327
image-process,32,2048,244K,3,28.610468970374342
image-process,32,2048,244K,4,23.47056795634463
image-process,32,2048,244K,5,28.753458059792557
image-process,32,2048,244K,6,29.641366379595368
image-process,32,2048,244K,7,17.668851506933272
image-process,32,2048,244K,8,28.690935876176404
image-process,32,2048,244K,9,23.83371101440392
image-process,32,2048,244K,10,29.066920107916445
image-process,64,2048,928K,1,71.56069282901876
image-process,64,2048,928K,2,54.79540200757869
image-process,64,2048,928K,3,54.51795051299747
image-process,64,2048,928K,4,47.26079788911575
image-process,64,2048,928K,5,38.952934931690756
image-process,64,2048,928K,6,30.504363739586548
image-process,64,2048,928K,7,50.54090394683974
image-process,64,2048,928K,8,55.944331974225605
image-process,64,2048,928K,9,58.597822868762705
image-process,64,2048,928K,10,56.689779006479476
image-process,16,2048,608K,1,609.9877887078344
image-process,16,2048,608K,2,33.54261628587067
image-process,16,2048,608K,3,34.226217655735134
image-process,16,2048,608K,4,34.55608490747303
image-process,16,2048,608K,5,34.49223376030437
image-process,16,2048,608K,6,19.805416485058743
image-process,16,2048,608K,7,34.57449016911473
image-process,16,2048,608K,8,34.75625781592752
image-process,16,2048,608K,9,35.186800741386136
image-process,16,2048,608K,10,32.0606912481203
image-process,80,2048,3.4M,1,1043.6707346049734
image-process,80,2048,3.4M,2,101.01201274158012
image-process,80,2048,3.4M,3,101.18441546780168
image-process,80,2048,3.4M,4,92.85656204152798
image-process,80,2048,3.4M,5,88.3434810186434
image-process,80,2048,3.4M,6,100.81558398729655
image-process,80,2048,3.4M,7,101.99374602731027
image-process,80,2048,3.4M,8,101.59559070447143
image-process,80,2048,3.4M,9,101.8489801602793
image-process,80,2048,3.4M,10,95.30127689209546
image-process,96,2048,4.6M,1,1105.112432043767
image-process,96,2048,4.6M,2,100.26608515726217
image-process,96,2048,4.6M,3,101.11837653618964
image-process,96,2048,4.6M,4,101.36850443599492
image-process,96,2048,4.6M,5,101.35236278833968
image-process,96,2048,4.6M,6,101.99531422038743
image-process,96,2048,4.6M,7,101.42593369797859
image-process,96,2048,4.6M,8,101.77995615622277
image-process,96,2048,4.6M,9,101.32682079099628
image-process,96,2048,4.6M,10,101.66258852575768
image-process,48,2048,184K,1,49.89405485696661
image-process,48,2048,184K,2,25.711105363255992
image-process,48,2048,184K,3,33.27445123540258
image-process,48,2048,184K,4,36.01132239766978
image-process,48,2048,184K,5,36.24086908098839
image-process,48,2048,184K,6,21.94581898724509
image-process,48,2048,184K,7,36.08714344626258
image-process,48,2048,184K,8,35.01166016202453
image-process,48,2048,184K,9,37.377075321711565
image-process,48,2048,184K,10,37.794027446724854
image-process,64,2048,12K,1,557.5713387718345
image-process,64,2048,12K,2,1.9167928949615713
image-process,64,2048,12K,3,1.6722009290840345
image-process,64,2048,12K,4,1.1718570934414938
image-process,64,2048,12K,5,1.6801470250288795
image-process,64,2048,12K,6,1.5000817553314343
image-process,64,2048,12K,7,1.4940822702191392
image-process,64,2048,12K,8,1.813005820413945
image-process,64,2048,12K,9,1.152734517278785
image-process,64,2048,12K,10,1.204400018221851
image-process,32,2048,2.4M,1,795.0770221258135
image-process,32,2048,2.4M,2,48.116704455910664
image-process,32,2048,2.4M,3,54.38609859533865
