benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util,cpu_util
image-process,80,2048,12K,4,0.0098323822021484,48.83984375,2.3847579956054688,1.6480809276642738
image-process,80,2048,12K,5,0.0101139545440673,48.83984375,2.3847579956054688,1.7148098855112517
image-process,80,2048,12K,6,0.0104622840881347,48.83984375,2.3847579956054688,1.6613908583116983
image-process,80,2048,12K,7,0.0102815628051757,48.83984375,2.3847579956054688,1.643194142925354
image-process,80,2048,12K,8,0.0110998153686523,48.83984375,2.3847579956054688,1.7128096312157983
image-process,80,2048,12K,9,0.0102236270904541,48.83984375,2.3847579956054688,1.6538139428571428
image-process,80,2048,12K,10,0.0090737342834472,48.83984375,2.3847579956054688,1.5544371553159435
image-process,96,2048,2.4M,1,0.7313282489776611,128.12109375,6.255912780761719,1171.2379989487763
image-process,96,2048,2.4M,2,0.6749989986419678,128.12109375,6.255912780761719,58.49794994679186
image-process,96,2048,2.4M,3,0.6862919330596924,128.12109375,6.255912780761719,70.9662736312146
image-process,96,2048,2.4M,4,0.6897501945495605,128.12109375,6.255912780761719,70.24713572173913
image-process,96,2048,2.4M,5,0.7408497333526611,128.12109375,6.255912780761719,58.5244134633373
image-process,96,2048,2.4M,6,0.693976879119873,128.12109375,6.255912780761719,39.7948174537368
image-process,96,2048,2.4M,7,0.6915428638458252,128.12109375,6.255912780761719,45.918361847912365
image-process,96,2048,2.4M,8,0.69415283203125,128.12109375,6.255912780761719,58.68253188880064
image-process,96,2048,2.4M,9,0.7359523773193359,128.12109375,6.255912780761719,75.92973639012033
image-process,96,2048,2.4M,10,0.7124648094177246,128.12109375,6.255912780761719,74.22037265533132
image-process,48,2048,244K,1,0.2840268611907959,78.7109375,3.843307495117188,2.3334162137049943
image-process,48,2048,244K,2,0.2817485332489013,78.7109375,3.843307495117188,28.453284892328917
image-process,48,2048,244K,3,0.2776830196380615,78.7109375,3.843307495117188,16.47229784653086
image-process,48,2048,244K,4,0.2788619995117187,78.7109375,3.843307495117188,28.726920727497877
image-process,48,2048,244K,5,0.2829382419586181,78.7109375,3.843307495117188,29.164854733532465
image-process,48,2048,244K,6,0.2841646671295166,78.7109375,3.843307495117188,20.408551552795032
image-process,48,2048,244K,7,0.2939879894256592,78.7109375,3.843307495117188,30.208808268540206
image-process,48,2048,244K,8,0.2809178829193115,78.7109375,3.843307495117188,26.63979816337592
image-process,48,2048,244K,9,0.2829024791717529,78.7109375,3.843307495117188,28.974473154980117
image-process,48,2048,244K,10,0.2873826026916504,78.7109375,3.843307495117188,23.772249323029364
image-process,48,2048,184K,1,0.3381199836730957,90.62109375,4.424858093261719,49.89405485696661
image-process,48,2048,184K,2,0.3510558605194092,90.62109375,4.424858093261719,25.711105363255992
image-process,48,2048,184K,3,0.3785412311553955,90.62109375,4.424858093261719,33.27445123540258
