benchmark,cpu_lim,mem_lim,data_size,run_no,cpu_util
encrypt,80,2048,50000,10,101.89489991250566
encrypt,16,2048,20000,1,102.33356042905302
encrypt,16,2048,20000,2,101.9841392838762
encrypt,16,2048,20000,3,102.05896894818768
encrypt,16,2048,20000,4,102.39072738688829
encrypt,16,2048,20000,5,102.2683143793911
encrypt,16,2048,20000,6,101.9611806864923
encrypt,16,2048,20000,7,102.33134552585217
encrypt,16,2048,20000,8,102.1082591262136
encrypt,16,2048,20000,9,102.23824966005878
encrypt,16,2048,20000,10,102.23111176924264
encrypt,64,2048,5000,1,85.33659431402911
encrypt,64,2048,5000,2,92.34887597000227
encrypt,64,2048,5000,3,65.71459836746898
encrypt,64,2048,5000,4,101.31615070620606
encrypt,64,2048,5000,5,87.2292983158988
encrypt,64,2048,5000,6,68.08539042937338
encrypt,64,2048,5000,7,101.97625535542257
encrypt,64,2048,5000,8,74.28670403394543
encrypt,64,2048,5000,9,65.1739437077709
encrypt,64,2048,5000,10,97.77281442479261
encrypt,96,2048,35000,1,102.38240238287311
encrypt,96,2048,35000,2,102.28518427210456
encrypt,96,2048,35000,3,102.13703813813362
encrypt,96,2048,35000,4,102.15176075489356
encrypt,96,2048,35000,5,102.10280497665312
encrypt,96,2048,35000,6,102.29993328693077
encrypt,96,2048,35000,7,102.15949739183057
encrypt,96,2048,35000,8,102.31820151088544
encrypt,96,2048,35000,9,102.32937654648957
encrypt,96,2048,35000,10,102.15647091334894
encrypt,16,2048,1000,1,23.533636595184074
encrypt,16,2048,1000,2,15.401962259838584
encrypt,16,2048,1000,3,24.863156055656383
encrypt,16,2048,1000,4,24.233312570878674
encrypt,16,2048,1000,5,25.178904896573016
encrypt,16,2048,1000,6,23.677317993311036
encrypt,16,2048,1000,7,23.91481174453626
encrypt,16,2048,1000,8,23.314129714937287
encrypt,16,2048,1000,9,24.40887788898999
encrypt,16,2048,1000,10,23.169567746656146
encrypt,32,2048,50000,1,102.13430631997554
encrypt,32,2048,50000,2,102.32168802107546
encrypt,32,2048,50000,3,102.61938939283215
encrypt,32,2048,50000,4,102.11266241321304
encrypt,32,2048,50000,5,102.25537562553457
encrypt,32,2048,50000,6,102.19519802585194
encrypt,32,2048,50000,7,102.23947211895911
encrypt,32,2048,50000,8,102.28795906608867
encrypt,32,2048,50000,9,102.34297019407252
encrypt,32,2048,50000,10,101.62360041376208
encrypt,80,2048,5000,1,101.94834203829524
encrypt,80,2048,5000,2,60.75373590067932
encrypt,80,2048,5000,3,100.65872074941451
encrypt,80,2048,5000,4,81.67601467017676
encrypt,80,2048,5000,5,78.0387314941141
encrypt,80,2048,5000,6,97.50701895922906
encrypt,80,2048,5000,7,61.41508690968699
encrypt,80,2048,5000,8,90.88958332263122
encrypt,80,2048,5000,9,99.77465594594594
encrypt,80,2048,5000,10,85.35199274722102
encrypt,80,2048,20000,1,103.96028549422336
encrypt,80,2048,20000,2,105.9162038099527
encrypt,80,2048,20000,3,102.25641308483672
encrypt,80,2048,20000,4,102.20252768729641
encrypt,80,2048,20000,5,102.25732714908457
encrypt,80,2048,20000,6,102.14852694340773
encrypt,80,2048,20000,7,102.68663415434179
encrypt,80,2048,20000,8,102.19433247917264
encrypt,80,2048,20000,9,102.21194070114856
encrypt,80,2048,20000,10,102.30395566779711
encrypt,64,2048,50000,1,102.8080689794285
encrypt,64,2048,50000,2,102.46014477566999
encrypt,64,2048,50000,3,102.47801264745151
encrypt,64,2048,50000,4,102.29735532620488
encrypt,64,2048,50000,5,102.24468071735586
encrypt,64,2048,50000,6,102.37211864340208
encrypt,64,2048,50000,7,102.28708335205572
encrypt,64,2048,50000,8,102.42239412379294
encrypt,64,2048,50000,9,102.05989593505991
encrypt,64,2048,50000,10,101.52586680887774
encrypt,96,2048,5000,1,77.88026910190506
encrypt,96,2048,5000,2,77.23290182249222
encrypt,96,2048,5000,3,74.49791896908799
encrypt,96,2048,5000,4,101.91507491187966
encrypt,96,2048,5000,5,72.5372356953137
encrypt,96,2048,5000,6,86.93609043639454
encrypt,96,2048,5000,7,91.12406616960976
encrypt,96,2048,5000,8,57.269148622041534
encrypt,96,2048,5000,9,90.1138884595616
encrypt,96,2048,5000,10,98.04521933968535
encrypt,48,2048,50000,1,105.80781362764193
encrypt,48,2048,50000,2,102.764900648199
encrypt,48,2048,50000,3,102.10373040526075
encrypt,48,2048,50000,4,102.1164252946058
encrypt,48,2048,50000,5,102.27680870982623
encrypt,48,2048,50000,6,102.39521406648811
encrypt,48,2048,50000,7,102.24505162708478
encrypt,48,2048,50000,8,102.41002280699053
encrypt,48,2048,50000,9,102.30294635382874
encrypt,48,2048,50000,10,101.61720204350793
encrypt,32,2048,10000,1,102.070006529765
encrypt,32,2048,10000,2,102.34705791332763
encrypt,32,2048,10000,3,102.03829727072076
encrypt,32,2048,10000,4,101.88950735903721
encrypt,32,2048,10000,5,102.00426278846886
encrypt,32,2048,10000,6,101.4827443473036
encrypt,32,2048,10000,7,101.49405145825712
encrypt,32,2048,10000,8,102.10294793078793
encrypt,32,2048,10000,9,101.86585405521078
encrypt,32,2048,10000,10,101.34715694726692
encrypt,80,2048,500,1,11.96958506503443
encrypt,80,2048,500,2,13.117607837753509
encrypt,80,2048,500,3,12.163036680115273
encrypt,80,2048,500,4,13.140357089423226
encrypt,80,2048,500,5,13.028447570419802
encrypt,80,2048,500,6,12.783944483335869
encrypt,80,2048,500,7,12.91849249692497
encrypt,80,2048,500,8,13.670194164220547
encrypt,80,2048,500,9,13.17835194984326
encrypt,80,2048,500,10,12.62643184582957
encrypt,80,2048,35000,1,102.32116056653697
encrypt,80,2048,35000,2,102.10976278808319
encrypt,80,2048,35000,3,102.30254487489543
encrypt,80,2048,35000,4,102.68555663833806
encrypt,80,2048,35000,5,102.0618838250192
encrypt,80,2048,35000,6,102.08445795511223
encrypt,80,2048,35000,7,101.93338916764361
encrypt,80,2048,35000,8,102.37765835192735
encrypt,80,2048,35000,9,102.45977774647888
encrypt,80,2048,35000,10,102.19515548649649
encrypt,16,2048,5000,1,29.172325287866403
encrypt,16,2048,5000,2,98.99317855294542
encrypt,16,2048,5000,3,65.0810187972197
encrypt,16,2048,5000,4,89.97145767799292
encrypt,16,2048,5000,5,86.68259604801477
encrypt,16,2048,5000,6,72.10523755667695
encrypt,16,2048,5000,7,88.74748661776691
encrypt,16,2048,5000,8,102.0533102983752
encrypt,16,2048,5000,9,77.10175530538922
encrypt,16,2048,5000,10,71.34282235706662
encrypt,48,2048,10000,1,102.02582486988038
encrypt,48,2048,10000,2,102.0514471464312
encrypt,48,2048,10000,3,101.49576344239995
encrypt,48,2048,10000,4,101.67980616504148
encrypt,48,2048,10000,5,101.76502799213458
encrypt,48,2048,10000,6,102.16374378955513
encrypt,48,2048,10000,7,102.06000340275223
encrypt,48,2048,10000,8,101.80654391702777
encrypt,48,2048,10000,9,101.99747453512033
encrypt,48,2048,10000,10,101.77162899719887
encrypt,32,2048,1000,1,24.048111323295757
encrypt,32,2048,1000,2,23.719829682432938
encrypt,32,2048,1000,3,23.626945356638153
encrypt,32,2048,1000,4,23.484467048744463
encrypt,32,2048,1000,5,14.970392073394494
encrypt,32,2048,1000,6,23.746906838709677
encrypt,32,2048,1000,7,23.655479359594906
encrypt,32,2048,1000,8,23.959225500263496
encrypt,32,2048,1000,9,16.039325284339455
encrypt,32,2048,1000,10,21.91674249637926
encrypt,96,2048,500,1,13.443742342259862
encrypt,96,2048,500,2,13.13347403994796
encrypt,96,2048,500,3,9.455826171606864
encrypt,96,2048,500,4,12.50345076842499
encrypt,96,2048,500,5,12.824762124894901
encrypt,96,2048,500,6,12.338177538393055
encrypt,96,2048,500,7,12.90403030660913
encrypt,96,2048,500,8,13.127447759450714
encrypt,96,2048,500,9,12.397744634655531
encrypt,96,2048,500,10,12.458739520693667
encrypt,80,2048,10000,1,102.34208817308443
encrypt,80,2048,10000,2,101.86036002119125
encrypt,80,2048,10000,3,101.80272652289872
encrypt,80,2048,10000,4,101.90619655958548
encrypt,80,2048,10000,5,101.60072960676278
encrypt,80,2048,10000,6,102.24161343008902
encrypt,80,2048,10000,7,101.93357952090716
encrypt,80,2048,10000,8,102.00450705440103
encrypt,80,2048,10000,9,102.27039184309118
encrypt,80,2048,10000,10,101.53637176435362
encrypt,16,2048,10000,1,102.50586605629447
encrypt,16,2048,10000,2,101.88443534513401
encrypt,16,2048,10000,3,102.13503132752588
encrypt,16,2048,10000,4,102.1851828584694
encrypt,16,2048,10000,5,101.45610783108303
encrypt,16,2048,10000,6,101.7883389326084
encrypt,16,2048,10000,7,102.03753633563937
encrypt,16,2048,10000,8,101.90344862409675
encrypt,16,2048,10000,9,102.01547632990288
encrypt,16,2048,10000,10,102.03759966364625
encrypt,48,2048,1000,1,16.48729376654633
encrypt,48,2048,1000,2,24.727754273318872
encrypt,48,2048,1000,3,18.859153077159547
encrypt,48,2048,1000,4,23.525383114247905
encrypt,48,2048,1000,5,24.521695582501916
encrypt,48,2048,1000,6,24.2166094874851
encrypt,48,2048,1000,7,22.986754416660663
encrypt,48,2048,1000,8,23.740527942925088
encrypt,48,2048,1000,9,16.045587707082834
encrypt,48,2048,1000,10,21.67897326310314
encrypt,32,2048,5000,1,101.50348174073504
encrypt,32,2048,5000,2,95.72320611702904
encrypt,32,2048,5000,3,76.50653094258166
encrypt,32,2048,5000,4,75.84805799291617
encrypt,32,2048,5000,5,100.18527855498907
encrypt,32,2048,5000,6,65.5466807997049
encrypt,32,2048,5000,7,82.8687317811724
encrypt,32,2048,5000,8,95.94321042955842
encrypt,32,2048,5000,9,64.62701067028166
encrypt,32,2048,5000,10,89.2127262362972
encrypt,32,2048,20000,1,102.14494468417104
encrypt,32,2048,20000,2,102.06302091261557
encrypt,32,2048,20000,3,102.15727566279415
encrypt,32,2048,20000,4,102.34480495412843
encrypt,32,2048,20000,5,102.17382839899413
encrypt,32,2048,20000,6,102.18717895478567
encrypt,32,2048,20000,7,102.35480804105042
encrypt,32,2048,20000,8,102.3066638796137
encrypt,32,2048,20000,9,102.17448034875719
encrypt,32,2048,20000,10,102.5684241860465
encrypt,16,2048,50000,1,102.19786589000775
encrypt,16,2048,50000,2,102.21500571086501
encrypt,16,2048,50000,3,102.33343278455598
encrypt,16,2048,50000,4,102.10181440170614
encrypt,16,2048,50000,5,102.26274532786275
encrypt,16,2048,50000,6,102.46079076875863
encrypt,16,2048,50000,7,102.20590165498733
encrypt,16,2048,50000,8,102.30805395206839
encrypt,16,2048,50000,9,102.25639665657178
encrypt,16,2048,50000,10,101.56332999923623
encrypt,64,2048,500,1,14.768146153604523
encrypt,64,2048,500,2,12.867904360855798
encrypt,64,2048,500,3,12.936881168064614
encrypt,64,2048,500,4,13.205039860869567
encrypt,64,2048,500,5,13.033933325286661
encrypt,64,2048,500,6,12.771767923627685
encrypt,64,2048,500,7,13.208690934423748
encrypt,64,2048,500,8,13.318390835322196
encrypt,64,2048,500,9,12.640184851192728
encrypt,64,2048,500,10,7.607651907264297
encrypt,96,2048,1000,1,7.914356015936256
encrypt,96,2048,1000,2,24.10146349220691
encrypt,96,2048,1000,3,25.37591582950404
encrypt,96,2048,1000,4,17.269068959976195
encrypt,96,2048,1000,5,22.515620680462995
encrypt,96,2048,1000,6,21.516189292126565
encrypt,96,2048,1000,7,24.56650049505709
encrypt,96,2048,1000,8,22.561351546087323
encrypt,96,2048,1000,9,24.56738657676984
encrypt,96,2048,1000,10,23.901793519252337
encrypt,16,2048,500,1,8.37862925427594
encrypt,16,2048,500,2,12.101523581051717
encrypt,16,2048,500,3,12.730473466424682
encrypt,16,2048,500,4,12.873170388349514
encrypt,16,2048,500,5,12.6967156556451
encrypt,16,2048,500,6,13.30422584703145
encrypt,16,2048,500,7,12.693012840590686
encrypt,16,2048,500,8,12.711903170028819
encrypt,16,2048,500,9,12.33155106613873
encrypt,16,2048,500,10,12.202356141059626
encrypt,48,2048,5000,1,59.67586027629853
encrypt,48,2048,5000,2,100.48809366583542
encrypt,48,2048,5000,3,84.38924057472148
encrypt,48,2048,5000,4,73.53986029037037
encrypt,48,2048,5000,5,101.98613374738727
encrypt,48,2048,5000,6,64.52302624835838
encrypt,48,2048,5000,7,96.04902949558145
encrypt,48,2048,5000,8,89.49484206587054
encrypt,48,2048,5000,9,60.99937089924469
encrypt,48,2048,5000,10,91.15466392920354
encrypt,64,2048,1000,1,22.54121866385669
encrypt,64,2048,1000,2,24.062689877838565
encrypt,64,2048,1000,3,14.060005684916202
encrypt,64,2048,1000,4,23.180993351229777
encrypt,64,2048,1000,5,24.902564681282673
encrypt,64,2048,1000,6,23.13074842250454
encrypt,64,2048,1000,7,24.916471757129717
encrypt,64,2048,1000,8,23.256326532993075
encrypt,64,2048,1000,9,22.473245092113434
encrypt,64,2048,1000,10,22.502696007096073
encrypt,48,2048,20000,1,101.87806258724335
encrypt,48,2048,20000,2,102.02252958875431
encrypt,48,2048,20000,3,102.11217247723854
encrypt,48,2048,20000,4,102.0600180995475
encrypt,48,2048,20000,5,102.25448465109595
encrypt,48,2048,20000,6,102.1684705937204
encrypt,48,2048,20000,7,102.24349626691223
encrypt,48,2048,20000,8,102.18932663877267
encrypt,48,2048,20000,9,102.24684013057671
encrypt,48,2048,20000,10,101.97663752601844
encrypt,80,2048,1000,1,24.101134701598976
encrypt,80,2048,1000,2,17.061559074421513
encrypt,80,2048,1000,3,24.61672809876543
encrypt,80,2048,1000,4,24.152323857745632
encrypt,80,2048,1000,5,20.044055104551045
encrypt,80,2048,1000,6,23.907010710900472
