benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util,cpu_util
linpack,80,2048,6000,1,4.393173694610596,601.54296875,29.372215270996094,6269.90929563073
linpack,80,2048,6000,2,4.187076091766357,601.54296875,29.372215270996094,6362.782752642267
linpack,80,2048,6000,3,4.522232294082642,601.54296875,29.372215270996094,6359.254476333045
linpack,80,2048,6000,4,4.442318677902222,601.54296875,29.372215270996094,6383.102037153136
linpack,80,2048,6000,5,3.9011342525482178,601.54296875,29.372215270996094,6365.671563709273
linpack,80,2048,6000,6,4.520730257034302,601.54296875,29.372215270996094,6393.648117366771
linpack,80,2048,6000,7,4.475613355636597,601.54296875,29.372215270996094,6368.508384924278
linpack,80,2048,6000,8,4.175456285476685,601.54296875,29.372215270996094,6117.209752088189
linpack,80,2048,6000,9,4.397101163864136,601.54296875,29.372215270996094,6361.407173904986
linpack,80,2048,6000,10,4.457972526550293,601.54296875,29.372215270996094,6390.616371280125
linpack,48,2048,5000,1,4.478893041610718,431.3984375,21.064376831054688,4952.030164120692
linpack,48,2048,5000,2,4.641158580780029,431.3984375,21.064376831054688,4897.349876564957
linpack,48,2048,5000,3,4.719365119934082,431.3984375,21.064376831054688,4868.56535450459
linpack,48,2048,5000,4,5.24998950958252,431.3984375,21.064376831054688,4869.090126865624
linpack,48,2048,5000,5,4.99689793586731,431.3984375,21.064376831054688,4867.848681291137
linpack,48,2048,5000,6,4.154471158981323,431.3984375,21.064376831054688,4934.041109453765
linpack,48,2048,5000,7,4.551624298095703,431.3984375,21.064376831054688,4953.815853360695
linpack,48,2048,5000,8,4.441266775131226,431.3984375,21.064376831054688,4889.083700747813
linpack,48,2048,5000,9,4.435958862304688,431.3984375,21.064376831054688,4913.257585771026
linpack,48,2048,5000,10,5.374898672103882,431.3984375,21.064376831054688,4916.262450663917
linpack,16,2048,500,1,2.5760433673858643,37.97265625,1.8541336059570312,1597.8688104770815
linpack,16,2048,500,2,2.684363842010498,37.97265625,1.8541336059570312,1641.9079861240664
linpack,16,2048,500,3,2.5433566570281982,37.97265625,1.8541336059570312,1679.7234231941263
linpack,16,2048,500,4,2.277785539627075,37.97265625,1.8541336059570312,1586.4880195091837
linpack,16,2048,500,5,2.646569013595581,37.97265625,1.8541336059570312,1584.0743278324703
linpack,16,2048,500,6,2.669771194458008,37.97265625,1.8541336059570312,1667.7756073685823
linpack,16,2048,500,7,2.637699842453003,37.97265625,1.8541336059570312,1654.74481644053
linpack,16,2048,500,8,2.6024529933929443,37.97265625,1.8541336059570312,1600.7293536845395
linpack,16,2048,500,9,2.561448335647583,37.97265625,1.8541336059570312,1700.959580601596
linpack,16,2048,500,10,2.494640350341797,37.97265625,1.8541336059570312,1587.0033638770612
linpack,48,2048,8000,1,6.386024713516235,1038.98828125,50.73184967041016,4963.177116075328
linpack,48,2048,8000,2,6.180845260620117,1038.98828125,50.73184967041016,4922.032315284104
linpack,48,2048,8000,3,6.559110641479492,1038.98828125,50.73184967041016,4937.130222889879
linpack,48,2048,8000,4,5.931450366973877,1038.98828125,50.73184967041016,4917.768179752459
linpack,48,2048,8000,5,5.871574401855469,1038.98828125,50.73184967041016,4888.881369826334
linpack,48,2048,8000,6,6.628737449645996,1038.98828125,50.73184967041016,4880.875443458504
linpack,48,2048,8000,7,5.929469347000122,1038.98828125,50.73184967041016,4922.102776121203
linpack,48,2048,8000,8,6.424363136291504,1038.98828125,50.73184967041016,4890.403317857593
linpack,48,2048,8000,9,6.795243263244629,1038.98828125,50.73184967041016,4884.276765670013
linpack,48,2048,8000,10,5.723860263824463,1038.98828125,50.73184967041016,4879.6522672422825
linpack,32,2048,6000,1,7.883597612380981,602.07421875,29.398155212402344,3283.0852524231877
linpack,32,2048,6000,2,8.485270500183105,602.07421875,29.398155212402344,3340.5668869073597
linpack,32,2048,6000,3,6.870037078857422,602.07421875,29.398155212402344,3361.035919760055
linpack,32,2048,6000,4,7.040087938308716,602.07421875,29.398155212402344,3424.0268756013747
linpack,32,2048,6000,5,7.207369804382324,602.07421875,29.398155212402344,3331.807656161432
linpack,32,2048,6000,6,8.176208019256592,602.07421875,29.398155212402344,3318.515499415205
linpack,32,2048,6000,7,8.022107601165771,602.07421875,29.398155212402344,3333.133953379523
linpack,32,2048,6000,8,8.17325735092163,602.07421875,29.398155212402344,3335.329258714518
linpack,32,2048,6000,9,8.431184768676758,602.07421875,29.398155212402344,3321.5039935050354
linpack,32,2048,6000,10,7.882661819458008,602.07421875,29.398155212402344,3308.2561632723364
linpack,48,2048,7000,1,6.106221675872803,804.55859375,39.28508758544922,4941.140120639544
linpack,48,2048,7000,2,6.051342725753784,804.55859375,39.28508758544922,4883.129457212776
linpack,48,2048,7000,3,6.282171249389648,804.55859375,39.28508758544922,4944.755825802656
linpack,48,2048,7000,4,5.7915894985198975,804.55859375,39.28508758544922,4856.821102896901
linpack,48,2048,7000,5,5.987903594970703,804.55859375,39.28508758544922,4874.427745802069
linpack,48,2048,7000,6,6.170592308044434,804.55859375,39.28508758544922,4857.896321666535
linpack,48,2048,7000,7,5.63920259475708,804.55859375,39.28508758544922,4906.980672840639
linpack,48,2048,7000,8,5.953111886978149,804.55859375,39.28508758544922,4919.617183606817
linpack,48,2048,7000,9,6.410876512527466,804.55859375,39.28508758544922,4877.988198266898
linpack,48,2048,7000,10,6.499691963195801,804.55859375,39.28508758544922,4869.800838330835
linpack,80,2048,7000,1,4.999783277511597,804.7578125,39.29481506347656,6353.033933519719
linpack,80,2048,7000,2,5.240950584411621,804.7578125,39.29481506347656,6358.597253580844
linpack,80,2048,7000,3,4.4708092212677,804.7578125,39.29481506347656,6134.33253952672
linpack,80,2048,7000,4,5.089239835739136,804.7578125,39.29481506347656,6378.654911799687
linpack,80,2048,7000,5,4.840780019760132,804.7578125,39.29481506347656,6345.268443924011
linpack,80,2048,7000,6,4.679385423660278,804.7578125,39.29481506347656,6334.09039576242
linpack,80,2048,7000,7,4.453710556030273,804.7578125,39.29481506347656,6363.226348469484
linpack,80,2048,7000,8,4.717522621154785,804.7578125,39.29481506347656,6363.473823030303
linpack,80,2048,7000,9,4.353307008743286,804.7578125,39.29481506347656,6378.506475436788
linpack,80,2048,7000,10,4.698650598526001,804.7578125,39.29481506347656,6377.49641126417
linpack,32,2048,7000,1,9.647507905960085,802.65625,39.19219970703125,3432.0628097995545
linpack,32,2048,7000,2,9.856788396835327,802.65625,39.19219970703125,3234.427342194318
linpack,32,2048,7000,3,8.142698764801025,802.65625,39.19219970703125,3399.5707208035155
linpack,32,2048,7000,4,7.5507612228393555,802.65625,39.19219970703125,3288.5814392168627
linpack,32,2048,7000,5,8.229331254959106,802.65625,39.19219970703125,3267.538112509257
linpack,32,2048,7000,6,8.031318664550781,802.65625,39.19219970703125,3297.9216771643805
linpack,32,2048,7000,7,8.013386249542236,802.65625,39.19219970703125,3272.726763776101
linpack,32,2048,7000,8,9.58666706085205,802.65625,39.19219970703125,3245.676155689041
linpack,32,2048,7000,9,8.372233629226685,802.65625,39.19219970703125,3289.597992577711
linpack,32,2048,7000,10,8.543784379959106,802.65625,39.19219970703125,3243.476148857233
linpack,48,2048,6000,1,5.642900228500366,601.578125,29.373931884765625,4914.87453846325
linpack,48,2048,6000,2,5.906265735626221,601.578125,29.373931884765625,4893.877991346184
linpack,48,2048,6000,3,5.752846002578735,601.578125,29.373931884765625,4936.866442941739
linpack,48,2048,6000,4,6.980308771133423,601.578125,29.373931884765625,4840.406825574545
linpack,48,2048,6000,5,6.295943021774292,601.578125,29.373931884765625,4917.920475082982
linpack,48,2048,6000,6,5.815046310424805,601.578125,29.373931884765625,4895.913570405212
linpack,48,2048,6000,7,5.672219276428223,601.578125,29.373931884765625,4912.689392446135
linpack,48,2048,6000,8,5.632606267929077,601.578125,29.373931884765625,4907.598456530208
linpack,48,2048,6000,9,6.051599025726318,601.578125,29.373931884765625,4861.913092833989
linpack,48,2048,6000,10,6.161442279815674,601.578125,29.373931884765625,4873.577594699897
linpack,32,2048,5000,1,7.38526463508606,433.8203125,21.182632446289062,3368.375037918216
linpack,32,2048,5000,2,7.662229299545288,433.8203125,21.182632446289062,3320.434570456227
linpack,32,2048,5000,3,7.156785488128662,433.8203125,21.182632446289062,3386.8939904228414
linpack,32,2048,5000,4,6.9331018924713135,433.8203125,21.182632446289062,3331.5280503069766
linpack,32,2048,5000,5,7.246923923492432,433.8203125,21.182632446289062,3328.0889295974625
linpack,32,2048,5000,6,7.484158754348755,433.8203125,21.182632446289062,3329.4427150243905
linpack,32,2048,5000,7,7.789875745773315,433.8203125,21.182632446289062,3344.9753825265893
linpack,32,2048,5000,8,7.755505084991455,433.8203125,21.182632446289062,3350.840062274473
linpack,32,2048,5000,9,8.088460445404053,433.8203125,21.182632446289062,3334.8005114020984
linpack,32,2048,5000,10,7.724368333816528,433.8203125,21.182632446289062,3317.9150456004827
linpack,48,2048,500,1,0.819441556930542,38.81640625,1.8953323364257808,3876.052021967677
linpack,48,2048,500,2,0.6654722690582275,38.81640625,1.8953323364257808,2042.00214685069
linpack,48,2048,500,3,0.7018129825592041,38.81640625,1.8953323364257808,2897.2202797093205
linpack,48,2048,500,4,0.8802857398986816,38.81640625,1.8953323364257808,4347.365329043205
linpack,48,2048,500,5,0.630692720413208,38.81640625,1.8953323364257808,3643.314061984903
linpack,48,2048,500,6,0.8465936183929443,38.81640625,1.8953323364257808,3446.6228737124484
linpack,48,2048,500,7,0.8680274486541748,38.81640625,1.8953323364257808,2791.518529096338
linpack,48,2048,500,8,0.7941906452178955,38.81640625,1.8953323364257808,4037.2349592049454
linpack,48,2048,500,9,0.8544774055480957,38.81640625,1.8953323364257808,3849.236710470082
linpack,48,2048,500,10,0.7709009647369385,38.81640625,1.8953323364257808,2247.4299979519296
linpack,16,2048,2000,1,9.99936056137085,99.61328125,4.863929748535156,1708.602940171355
linpack,16,2048,2000,2,10.868542432785034,126.12890625,6.158638000488281,1728.0964593512767
linpack,16,2048,2000,3,10.661503314971924,126.12890625,6.158638000488281,1712.481221221014
linpack,16,2048,2000,4,9.990527629852297,126.25390625,6.164741516113281,1706.5805805817906
linpack,16,2048,2000,5,11.018958806991575,126.25390625,6.164741516113281,1689.8141860172009
linpack,16,2048,2000,6,10.06034255027771,126.25390625,6.164741516113281,1715.1472204758604
linpack,16,2048,2000,7,10.345721006393433,126.25390625,6.164741516113281,1673.3086726258691
