,benchmark,cpu_lim,mem_lim,data_size,exec_time,mem_usage,mem_util
0,encrypt,32,2048,35000,8.283332347869873,16.265625,0.794219970703125
1,encrypt,32,2048,35000,8.254377841949463,16.265625,0.794219970703125
2,encrypt,32,2048,35000,8.258749961853027,16.265625,0.794219970703125
3,encrypt,32,2048,35000,8.238104104995728,16.265625,0.794219970703125
4,encrypt,32,2048,35000,8.239143371582031,16.265625,0.794219970703125
5,encrypt,32,2048,35000,8.264100551605225,16.265625,0.794219970703125
6,encrypt,32,2048,35000,8.25641942024231,16.265625,0.794219970703125
7,encrypt,32,2048,35000,8.245289325714111,16.265625,0.794219970703125
8,encrypt,32,2048,35000,8.246649265289307,16.265625,0.794219970703125
9,encrypt,32,2048,35000,8.25191593170166,16.265625,0.794219970703125
10,encrypt,96,2048,500,0.12822842597961426,16.58203125,0.8096694946289062
11,encrypt,96,2048,500,0.13407444953918457,16.58203125,0.8096694946289062
12,encrypt,96,2048,500,0.1316847801208496,16.58203125,0.8096694946289062
13,encrypt,96,2048,500,0.12980079650878906,16.58203125,0.8096694946289062
14,encrypt,96,2048,500,0.1300656795501709,16.58203125,0.8096694946289062
15,encrypt,96,2048,500,0.13008618354797363,16.58203125,0.8096694946289062
16,encrypt,96,2048,500,0.13375353813171387,16.58203125,0.8096694946289062
17,encrypt,96,2048,500,0.13449692726135254,16.58203125,0.8096694946289062
18,encrypt,96,2048,500,0.13046741485595703,16.58203125,0.8096694946289062
19,encrypt,96,2048,500,0.13406825065612793,16.58203125,0.8096694946289062
20,encrypt,48,2048,5000,1.198387861251831,16.5234375,0.8068084716796875
21,encrypt,48,2048,5000,1.1963272094726562,16.5234375,0.8068084716796875
22,encrypt,48,2048,5000,1.207296371459961,16.5234375,0.8068084716796875
23,encrypt,48,2048,5000,1.202514410018921,16.5234375,0.8068084716796875
24,encrypt,48,2048,5000,1.2271971702575684,16.5234375,0.8068084716796875
25,encrypt,48,2048,5000,1.2070043087005615,16.5234375,0.8068084716796875
26,encrypt,48,2048,5000,1.2024414539337158,16.5234375,0.8068084716796875
27,encrypt,48,2048,5000,1.2053165435791016,16.5234375,0.8068084716796875
28,encrypt,48,2048,5000,1.2091825008392334,16.5234375,0.8068084716796875
29,encrypt,48,2048,5000,1.2032859325408936,16.5234375,0.8068084716796875
30,encrypt,16,2048,10000,2.3857455253601074,17.4375,0.8514404296875
31,encrypt,16,2048,10000,2.376770496368408,17.4375,0.8514404296875
