,benchmark,cpu_lim,mem_lim,data_size,exec_time,mem_usage,mem_util
0,linpack,80,2048,6000,3.921370267868042,604.70703125,29.526710510253906
1,linpack,80,2048,6000,4.443007707595825,604.70703125,29.526710510253906
2,linpack,80,2048,6000,4.702188491821289,604.70703125,29.526710510253906
3,linpack,80,2048,6000,4.375012159347534,604.70703125,29.526710510253906
4,linpack,80,2048,6000,4.51430869102478,604.70703125,29.526710510253906
5,linpack,80,2048,6000,4.53417181968689,604.70703125,29.526710510253906
6,linpack,80,2048,6000,4.189671754837036,604.70703125,29.526710510253906
7,linpack,80,2048,6000,4.665602445602417,604.70703125,29.526710510253906
8,linpack,80,2048,6000,4.400024652481079,604.70703125,29.526710510253906
9,linpack,80,2048,6000,4.275674343109131,604.70703125,29.526710510253906
10,linpack,48,2048,5000,4.311439514160156,431.78515625,21.08325958251953
11,linpack,48,2048,5000,5.5345118045806885,431.78515625,21.08325958251953
12,linpack,48,2048,5000,4.799806356430054,431.78515625,21.08325958251953
13,linpack,48,2048,5000,4.731637001037598,431.78515625,21.08325958251953
14,linpack,48,2048,5000,4.531670808792114,431.78515625,21.08325958251953
15,linpack,48,2048,5000,4.687974691390991,431.78515625,21.08325958251953
16,linpack,48,2048,5000,4.746382236480713,431.78515625,21.08325958251953
17,linpack,48,2048,5000,4.692843198776245,431.78515625,21.08325958251953
18,linpack,48,2048,5000,4.659027814865112,431.78515625,21.08325958251953
19,linpack,48,2048,5000,4.494211435317993,431.78515625,21.08325958251953
20,linpack,16,2048,500,2.3493764400482178,37.58203125,1.8350601196289062
21,linpack,16,2048,500,2.4787492752075195,37.58203125,1.8350601196289062
22,linpack,16,2048,500,2.5187506675720215,37.58203125,1.8350601196289062
23,linpack,16,2048,500,2.603559970855713,37.58203125,1.8350601196289062
24,linpack,16,2048,500,2.237968683242798,37.58203125,1.8350601196289062
25,linpack,16,2048,500,2.6099050045013428,37.58203125,1.8350601196289062
26,linpack,16,2048,500,2.6880276203155518,37.58203125,1.8350601196289062
27,linpack,16,2048,500,2.2552764415740967,37.58203125,1.8350601196289062
28,linpack,16,2048,500,2.41017746925354,37.58203125,1.8350601196289062
29,linpack,16,2048,500,2.6087300777435303,37.58203125,1.8350601196289062
30,linpack,48,2048,8000,6.373136281967163,1037.98828125,50.683021545410156
31,linpack,48,2048,8000,5.900757312774658,1037.98828125,50.683021545410156
32,linpack,48,2048,8000,5.690887212753296,1037.98828125,50.683021545410156
33,linpack,48,2048,8000,5.399333477020264,1037.98828125,50.683021545410156
34,linpack,48,2048,8000,6.282835245132446,1037.98828125,50.683021545410156
35,linpack,48,2048,8000,6.06684684753418,1037.98828125,50.683021545410156
36,linpack,48,2048,8000,6.028213739395142,1037.98828125,50.683021545410156
37,linpack,48,2048,8000,6.463472604751587,1037.98828125,50.683021545410156
38,linpack,48,2048,8000,7.5301289558410645,1037.98828125,50.683021545410156
39,linpack,48,2048,8000,6.765619993209839,1037.98828125,50.683021545410156
40,linpack,32,2048,6000,8.229234457015991,601.84765625,29.38709259033203
41,linpack,32,2048,6000,8.096675157546997,601.84765625,29.38709259033203
42,linpack,32,2048,6000,7.782135009765625,601.84765625,29.38709259033203
43,linpack,32,2048,6000,7.529942750930786,601.84765625,29.38709259033203
44,linpack,32,2048,6000,8.082829713821411,601.84765625,29.38709259033203
45,linpack,32,2048,6000,7.756150484085083,601.84765625,29.38709259033203
46,linpack,32,2048,6000,8.154405117034912,601.84765625,29.38709259033203
47,linpack,32,2048,6000,7.684449672698975,601.84765625,29.38709259033203
48,linpack,32,2048,6000,6.984888553619385,601.84765625,29.38709259033203
49,linpack,32,2048,6000,7.268483400344849,601.84765625,29.38709259033203
50,linpack,48,2048,7000,5.844374418258667,806.28125,39.36920166015625
51,linpack,48,2048,7000,6.280047178268433,806.28125,39.36920166015625
52,linpack,48,2048,7000,5.700387001037598,806.28125,39.36920166015625
53,linpack,48,2048,7000,5.6955039501190186,806.28125,39.36920166015625
54,linpack,48,2048,7000,6.169979572296143,806.28125,39.36920166015625
55,linpack,48,2048,7000,5.8589701652526855,806.28125,39.36920166015625
56,linpack,48,2048,7000,5.8446900844573975,806.28125,39.36920166015625
57,linpack,48,2048,7000,5.636645555496216,806.28125,39.36920166015625
58,linpack,48,2048,7000,5.999242305755615,806.28125,39.36920166015625
59,linpack,48,2048,7000,6.80974006652832,806.28125,39.36920166015625
60,linpack,80,2048,7000,4.329718351364136,806.0234375,39.35661315917969
61,linpack,80,2048,7000,4.922359466552734,806.0234375,39.35661315917969
62,linpack,80,2048,7000,4.271686315536499,806.0234375,39.35661315917969
63,linpack,80,2048,7000,3.749948501586914,806.0234375,39.35661315917969
64,linpack,80,2048,7000,4.005826473236084,806.0234375,39.35661315917969
65,linpack,80,2048,7000,4.614320993423462,806.0234375,39.35661315917969
66,linpack,80,2048,7000,4.264844655990601,806.0234375,39.35661315917969
67,linpack,80,2048,7000,4.699393272399902,806.0234375,39.35661315917969
68,linpack,80,2048,7000,4.344356298446655,806.0234375,39.35661315917969
69,linpack,80,2048,7000,4.794029712677002,806.0234375,39.35661315917969
70,linpack,32,2048,7000,8.806014060974121,806.84375,39.39666748046875
71,linpack,32,2048,7000,9.034515857696533,806.84375,39.39666748046875
72,linpack,32,2048,7000,8.869375467300415,806.84375,39.39666748046875
73,linpack,32,2048,7000,9.211363792419434,806.84375,39.39666748046875
74,linpack,32,2048,7000,8.895305871963501,806.84375,39.39666748046875
75,linpack,32,2048,7000,8.208311557769775,806.84375,39.39666748046875
76,linpack,32,2048,7000,9.05479383468628,806.84375,39.39666748046875
77,linpack,32,2048,7000,8.274287700653076,806.84375,39.39666748046875
78,linpack,32,2048,7000,9.29304051399231,806.84375,39.39666748046875
79,linpack,32,2048,7000,9.018981695175171,806.84375,39.39666748046875
80,linpack,48,2048,6000,5.1902430057525635,603.0390625,29.445266723632812
81,linpack,48,2048,6000,5.072504043579102,603.0390625,29.445266723632812
82,linpack,48,2048,6000,5.2531867027282715,603.0390625,29.445266723632812
83,linpack,48,2048,6000,5.228884220123291,603.0390625,29.445266723632812
84,linpack,48,2048,6000,4.82419490814209,603.0390625,29.445266723632812
85,linpack,48,2048,6000,5.822009563446045,603.0390625,29.445266723632812
86,linpack,48,2048,6000,6.133031368255615,603.0390625,29.445266723632812
87,linpack,48,2048,6000,5.595410585403442,603.0390625,29.445266723632812
88,linpack,48,2048,6000,5.020995140075684,603.0390625,29.445266723632812
89,linpack,48,2048,6000,5.112184047698975,603.0390625,29.445266723632812
90,linpack,32,2048,5000,7.642755031585693,433.16015625,21.15039825439453
91,linpack,32,2048,5000,7.064236164093018,433.16015625,21.15039825439453
92,linpack,32,2048,5000,7.4375669956207275,433.16015625,21.15039825439453
93,linpack,32,2048,5000,7.201147079467773,433.16015625,21.15039825439453
94,linpack,32,2048,5000,6.830327033996582,433.16015625,21.15039825439453
95,linpack,32,2048,5000,7.070194721221924,433.16015625,21.15039825439453
96,linpack,32,2048,5000,6.868669271469116,433.16015625,21.15039825439453
97,linpack,32,2048,5000,7.6880199909210205,433.16015625,21.15039825439453
98,linpack,32,2048,5000,7.54629111289978,433.16015625,21.15039825439453
99,linpack,32,2048,5000,6.816058397293091,433.16015625,21.15039825439453
100,linpack,48,2048,500,0.6615097522735596,38.20703125,1.8655776977539062
101,linpack,48,2048,500,0.7398576736450195,38.20703125,1.8655776977539062
102,linpack,48,2048,500,0.6857411861419678,38.20703125,1.8655776977539062
103,linpack,48,2048,500,0.8633685111999512,38.20703125,1.8655776977539062
104,linpack,48,2048,500,0.7010445594787598,38.20703125,1.8655776977539062
105,linpack,48,2048,500,0.8151168823242188,38.20703125,1.8655776977539062
106,linpack,48,2048,500,0.8135550022125244,38.20703125,1.8655776977539062
107,linpack,48,2048,500,0.6181759834289551,38.20703125,1.8655776977539062
108,linpack,48,2048,500,0.7642180919647217,38.20703125,1.8655776977539062
109,linpack,48,2048,500,0.6728227138519287,38.20703125,1.8655776977539062
110,linpack,16,2048,2000,10.532879114151001,98.875,4.827880859375
111,linpack,16,2048,2000,10.533950567245483,126.78125,6.19049072265625
112,linpack,16,2048,2000,9.71913194656372,126.78125,6.19049072265625
113,linpack,16,2048,2000,10.09465742111206,126.78125,6.19049072265625
114,linpack,16,2048,2000,9.795890808105469,126.78125,6.19049072265625
115,linpack,16,2048,2000,10.01893138885498,126.78125,6.19049072265625
116,linpack,16,2048,2000,10.961564064025879,126.78125,6.19049072265625
117,linpack,16,2048,2000,9.983010053634644,126.78125,6.19049072265625
118,linpack,16,2048,2000,9.683686017990112,126.78125,6.19049072265625
119,linpack,16,2048,2000,10.578370094299316,126.78125,6.19049072265625
120,linpack,64,2048,8000,5.318933010101318,1039.68359375,50.76580047607422
121,linpack,64,2048,8000,5.666658878326416,1039.68359375,50.76580047607422
122,linpack,64,2048,8000,4.872821569442749,1039.68359375,50.76580047607422
123,linpack,64,2048,8000,4.528480052947998,1039.68359375,50.76580047607422
124,linpack,64,2048,8000,4.54491114616394,1039.68359375,50.76580047607422
125,linpack,64,2048,8000,4.816351413726807,1039.68359375,50.76580047607422
126,linpack,64,2048,8000,4.574438571929932,1039.68359375,50.76580047607422
127,linpack,64,2048,8000,4.815906047821045,1039.68359375,50.76580047607422
128,linpack,64,2048,8000,4.728959321975708,1039.68359375,50.76580047607422
129,linpack,64,2048,8000,5.065021276473999,1039.68359375,50.76580047607422
130,linpack,16,2048,3000,13.071130275726318,178.046875,8.693695068359375
131,linpack,16,2048,3000,13.050874710083008,178.046875,8.693695068359375
132,linpack,16,2048,3000,13.021366834640503,178.046875,8.693695068359375
133,linpack,16,2048,3000,12.248533010482788,178.046875,8.693695068359375
134,linpack,16,2048,3000,12.491565465927124,178.046875,8.693695068359375
